"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69580","p53-Dependent G1/S DNA damage checkpoint","43/4735","53/11287",0.811320754716981,1.93397621087446,5.79361470577057,5.60142246963879e-09,5.90223960226754e-08,5.90223960226754e-08,"PSMA4/PSMB7/PSMC1/CDK2/PSMB1/PSMD3/PSMD8/PSMD14/ZNF385A/CDKN2A/PSMB2/PSMA3/PSMB6/PCBP4/PSMB3/PSMA2/ADRM1/PSMD2/PSMD13/PSMC3/PSMD1/PSMA5/CDKN1A/PSMD6/PSMC4/PSMD12/PSMB5/CDKN1B/TP53/UBC/PSMA7/RPS27A/PSMC6/PSMD7/PSMA6/PSMB4/UBA52/PSMC2/PSMC5/PSMD11/CCNA2/PHF20/UBB",43
"R-HSA-6782210","Gap-filling DNA repair synthesis and ligation in TC-NER","49/4735","63/11287",0.777777777777778,1.85401853807345,5.77838951669227,6.85742402383924e-09,7.18136368631508e-08,7.18136368631508e-08,"POLR2I/POLR2H/POLE4/TCEA1/GTF2H3/RFC1/RFC5/POLR2L/MNAT1/POLR2D/LIG1/CCNH/XRCC1/POLR2A/GTF2H2/CDK7/GTF2H1/PCNA/DDB1/RPA1/POLR2C/RFC2/PPIE/POLR2G/POLR2E/POLR2B/PRPF19/POLR2F/POLD3/ERCC3/GTF2H5/UBC/RBX1/CUL4A/RFC3/XAB2/ZNF830/POLE3/RPS27A/RPA2/POLD4/POLD1/POLR2J/UBA52/RPA3/POLD2/POLR2K/RFC4/UBB",49
"R-HSA-5607761","Dectin-1 mediated noncanonical NF-kB signaling","39/4735","47/11287",0.829787234042553,1.97799546159204,5.71144084510415,8.5522054592617e-09,8.84764528421801e-08,8.84764528421801e-08,"PSMA4/PSMB7/PSMC1/PSMB1/PSMD3/PSMD8/PSMD14/PSMB2/PSMA3/PSMB6/PSMB3/PSMA2/ADRM1/PSMD2/PSMD13/PSMC3/PSMD1/PSMA5/UBA3/PSMD6/SKP1/PSMC4/PSMD12/CUL1/PSMB5/UBC/PSMA7/RELA/RPS27A/PSMC6/PSMD7/PSMA6/PSMB4/UBA52/PSMC2/PSMC5/PSMD11/UBB/CHUK",39
"R-HSA-5610780","Degradation of GLI1 by the proteasome","39/4735","47/11287",0.829787234042553,1.97799546159204,5.71144084510415,8.5522054592617e-09,8.84764528421801e-08,8.84764528421801e-08,"PSMA4/PSMB7/PSMC1/PSMB1/PSMD3/PSMD8/PSMD14/PSMB2/PSMA3/PSMB6/PSMB3/PSMA2/ADRM1/PSMD2/PSMD13/PSMC3/PSMD1/PSMA5/PSMD6/SKP1/PSMC4/PSMD12/CUL1/PSMB5/UBC/PSMA7/NUMB/RBX1/RPS27A/PSMC6/PSMD7/PSMA6/PSMB4/UBA52/PSMC2/PSMC5/PSMD11/SUFU/UBB",39
"R-HSA-195253","Degradation of beta-catenin by the destruction complex","53/4735","70/11287",0.757142857142857,1.80483029114497,5.74193198393811,8.94988867157919e-09,9.20328913396728e-08,9.20328913396728e-08,"PPP2R5E/PPP2R5D/PSMA4/PSMB7/PSMC1/PSMB1/PSMD3/PSMD8/PSMD14/CTNNB1/PSMB2/PSMA3/PSMB6/PSMB3/PSMA2/PPP2CA/HDAC1/ADRM1/PSMD2/CTBP2/PSMD13/PSMC3/PSMD1/PSMA5/TLE1/PSMD6/SKP1/PPP2R5A/PSMC4/PSMD12/CUL1/TCF7L2/PSMB5/TCF7L1/CSNK1A1/UBC/PSMA7/APC/RBX1/RPS27A/PSMC6/PSMD7/GSK3B/PSMA6/PSMB4/UBA52/PPP2CB/PSMC2/PSMC5/PSMD11/PPP2R5C/UBB/PPP2R1A",53
"R-HSA-69541","Stabilization of p53","37/4735","44/11287",0.840909090909091,2.00450705577422,5.67520161612048,1.01219195548734e-08,1.03461776527957e-07,1.03461776527957e-07,"PSMA4/PSMB7/PSMC1/PSMB1/PSMD3/PSMD8/PSMD14/CDKN2A/PSMB2/PSMA3/PSMB6/PSMB3/PSMA2/ADRM1/PSMD2/PSMD13/PSMC3/PSMD1/PSMA5/PSMD6/PSMC4/PSMD12/PSMB5/TP53/UBC/PSMA7/RPS27A/PSMC6/PSMD7/PSMA6/PSMB4/UBA52/PSMC2/PSMC5/PSMD11/PHF20/UBB",37
"R-HSA-9013694","Signaling by NOTCH4","54/4735","72/11287",0.75,1.78780359028511,5.70069275966821,1.15767962029343e-08,1.17628518561957e-07,1.17628518561957e-07,"RBPJ/HES1/PSMA4/PSMB7/PSMC1/PSMB1/PSMD3/NCSTN/NOTCH2/PSMD8/PSMD14/PSMB2/PSMA3/PSMB6/PSMB3/PSMA2/YWHAZ/ADRM1/PSMD2/PSMD13/KAT2A/PSMC3/PSMD1/PSMA5/NOTCH4/NOTCH1/TACC3/PSMD6/SKP1/ADAM10/PSMC4/SMAD3/PSMD12/ACTA2/CUL1/PSMB5/UBC/PSMA7/AKT1/RBX1/RPS27A/PSENEN/APH1A/PSMC6/PSMD7/DLL4/JAG1/PSMA6/PSMB4/UBA52/PSMC2/PSMC5/PSMD11/UBB",54
"R-HSA-69615","G1/S DNA Damage Checkpoints","51/4735","67/11287",0.761194029850746,1.81448722596101,5.68418652282871,1.24937830645188e-08,1.26194601722684e-07,1.26194601722684e-07,"PSMA4/PSMB7/PSMC1/CDK2/PSMB1/PSMD3/PSMD8/PSMD14/ZNF385A/CDKN2A/PSMB2/PSMA3/PSMB6/PCBP4/PSMB3/PSMA2/ADRM1/PSMD2/PSMD13/PSMC3/PSMD1/PSMA5/CDKN1A/PSMD6/SKP1/PSMC4/PSMD12/CUL1/PSMB5/CDKN1B/CSNK1A1/TP53/UBC/PSMA7/RBX1/CHEK1/PLK3/RPS27A/PSMC6/PSMD7/GSK3B/PSMA6/PSMB4/UBA52/PSMC2/PSMC5/PSMD11/CCNA2/PHF20/CSNK1E/UBB",51
"R-HSA-5607764","CLEC7A (Dectin-1) signaling","62/4735","86/11287",0.720930232558139,1.71850887748336,5.68585834496626,1.31294687255006e-08,1.3183531243782e-07,1.3183531243782e-07,"NFKBIA/PYCARD/PSMA4/PSMB7/PSMC1/PSMB1/PSMD3/PSMD8/PSMD14/NFKB1/PSMB2/PSMA3/PSMB6/PSMB3/BCL10/PSMA2/ADRM1/PSMD2/ITPR2/UBE2N/PPP3R1/PSMD13/PSMC3/PSMD1/PSMA5/PPP3CB/UBA3/CALM2/IKBKG/CLEC7A/SYK/PSMD6/SKP1/PRKCD/PSMC4/PSMD12/CUL1/CDC34/PSMB5/AHCYL1/UBE2D2/UBC/PSMA7/ITPR3/CALM1/RELA/PDPK1/CALM3/UBE2D1/RPS27A/PSMC6/PSMD7/PPP3CA/PSMA6/PSMB4/UBA52/MAP3K7/PSMC2/PSMC5/PSMD11/UBB/CHUK",62
"R-HSA-9013404","RAC2 GTPase cycle","63/4735","88/11287",0.715909090909091,1.7065397907267,5.65628663430184,1.5663814665661e-08,1.56363342890545e-07,1.56363342890545e-07,"NCF4/PIK3R3/VAV3/DOCK2/NCKAP1L/CDC42EP1/GIT2/BRK1/TMPO/CYBA/PREX1/DOCK10/LAMTOR1/DSG2/EMD/VRK2/ARHGAP1/VAPB/ARHGAP17/ARHGAP21/DOCK4/TRIO/VANGL1/ARMCX3/NCF2/PAK1/SYDE1/DEF6/RAC2/PAK4/TFRC/MCAM/ANKLE2/LMAN1/IQGAP1/PGRMC2/CYFIP1/DOCK1/BAIAP2L1/VAMP3/CDC42EP4/ABI1/CYBB/ITGB1/RACGAP1/ABR/RAB7A/PIK3R1/SAMM50/SWAP70/NCKAP1/TAOK3/NCF1/DIAPH3/PAK2/ABI2/ARHGDIA/CDC42/CAV1/WASF2/EPHA2/ARHGAP32/MTX1",63
