"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006446","regulation of translational initiation","10/599","91/18842",0.10989010989011,3.4566768790475,4.25670716717595,0.000622041761171393,0.00817109226082422,0.00378812213927702,"TPR/CCL5/EIF2AK2/EIF5/EIF4A2/PPP1CA/EIF1/PAIP2/EIF3K/EIF1B",10
"GO:0002708","positive regulation of lymphocyte mediated immunity","11/599","108/18842",0.101851851851852,3.20382736659865,4.16189815468001,0.000648658387100704,0.00849323997819922,0.00393746996957342,"TGFB1/CD55/HLA-C/CD7/ARID5A/HLA-E/HSPD1/B2M/HLA-F/HLA-B/HLA-A",11
"GO:0017145","stem cell division","5/599","23/18842",0.217391304347826,6.83820860855048,5.07647805077747,0.000667737390099922,0.00871493912030735,0.00404024979406579,"YME1L1/PAFAH1B1/CDK2AP2/LBH/ZFP36L2",5
"GO:0030218","erythrocyte differentiation","11/599","109/18842",0.100917431192661,3.17443445497848,4.12546740725236,0.000701225880621048,0.00912267900461805,0.00422927819241456,"HSPA1A/RPS19/ID2/ZFP36/HSPA1B/HMGB2/PTPN2/HCLS1/RPS14/KMT2E/PTBP3",11
"GO:1901990","regulation of mitotic cell cycle phase transition","23/599","345/18842",0.0666666666666667,2.09705063995548,3.72651463604079,0.000716070008609894,0.0092860324758708,0.00430500893699899,"TGFB1/PSMA5/DYNLT3/PSME1/BUB3/TAOK3/PLK3/TPR/ID2/ZNF207/CCNH/RGCC/ACTB/PPP2CA/CDKN1B/PRMT2/CDK2AP2/IK/BCL7B/DUSP1/KMT2E/CCND3/ZFP36L2",23
"GO:0002573","myeloid leukocyte differentiation","16/599","201/18842",0.0796019900497512,2.50394106263341,3.88428868378222,0.000719622658930635,0.00930238335222754,0.0043125892108163,"TGFB1/IFI16/GPR183/SRP54/CDC42/ID2/IRF7/NR3C1/NPM1/BATF/FOXP1/SOCS1/PTPN2/HCLS1/CCR7/UCP2",16
"GO:0061572","actin filament bundle organization","14/599","163/18842",0.0858895705521472,2.70172168337823,3.95387359413589,0.000724669318896318,0.00933788179492112,0.00432904630521507,"PFN1/CDC42/PTGER4/WAS/CD47/RGCC/EVL/CORO1B/PIK3R1/LIMD2/ROCK1/PAK2/EZR/LCP1",14
"GO:0030101","natural killer cell activation","10/599","93/18842",0.10752688172043,3.38233974186368,4.17324010478967,0.000739006629491416,0.00949249338324576,0.00440072430884371,"FYN/CD48/NKG7/PTPRC/HLA-E/CD2/HLA-F/CORO1A/PTPN22/IL2RG",10
"GO:0002218","activation of innate immune response","22/599","326/18842",0.0674846625766871,2.12278132265432,3.70550710624198,0.000789868986008817,0.0101138114012927,0.00468876762845958,"FYN/IFI16/HSPA1A/TNIP1/PCBP2/IRF7/USP15/EIF2AK2/GBP2/PPP6C/PIK3R1/HSPA8/PPP2CA/TNFAIP3/HSPD1/HSPA1B/PAK2/TRAF3IP3/ZC3HAV1/BIRC3/HSP90AA1/PTPN22",22
"GO:0043549","regulation of kinase activity","18/599","243/18842",0.0740740740740741,2.3300562666172,3.78133896756081,0.000805251132460046,0.0102296495190766,0.0047424702332696,"TAF7/SNX9/TNFRSF1B/TAOK3/LCP2/PTPN1/CIB1/PTPRC/LTB/ADAR/CDKN1B/TSPYL2/ABI1/SYAP1/PDCD4/PTPN22/LAT/DNAJA1",18
"GO:0010639","negative regulation of organelle organization","23/599","348/18842",0.0660919540229885,2.07897261719724,3.68130563225145,0.00080525805998608,0.0102296495190766,0.0047424702332696,"PFN1/DYNLT3/HSPA1A/HNRNPC/BUB3/TERF2IP/SPTAN1/TPR/ZNF207/WAS/GMFG/TWF2/CIB1/TMSB4X/NPM1/CORO1B/PIK3R1/HNRNPA1/PAK2/IK/DUSP1/SMARCA5/CORO1A",23
"GO:0097581","lamellipodium organization","9/599","78/18842",0.115384615384615,3.62951072299987,4.21673969540457,0.000807966955796912,0.0102296495190766,0.0047424702332696,"RAC2/CD44/CDC42/WAS/TWF2/CORO1B/PIK3R1/ARPC2/HSP90AA1",9
"GO:1901796","regulation of signal transduction by p53 class mediator","11/599","111/18842",0.0990990990990991,3.11723743777166,4.0538514390562,0.000817017541452909,0.0102296495190766,0.0047424702332696,"PLK3/CD44/COPS3/RPS7/RPL26/RPL5/DDX5/RPL11/UBB/RPS15/RPL37",11
"GO:0032271","regulation of protein polymerization","15/599","184/18842",0.0815217391304348,2.56432822820643,3.86386110399606,0.000817783151176861,0.0102296495190766,0.0047424702332696,"SNX9/PFN1/HSPA1A/ARF6/SPTAN1/COTL1/RPS3/TWF2/EVL/TMSB4X/PPP2CA/HSPA1B/HCLS1/CCR7/HSP90AA1",15
"GO:0032703","negative regulation of interleukin-2 production","5/599","24/18842",0.208333333333333,6.55328324986088,4.93271440403917,0.000821597867262617,0.0102296495190766,0.0047424702332696,"PRNP/LAPTM5/PTPRC/TNFAIP3/ZFP36",5
"GO:0050857","positive regulation of antigen receptor-mediated signaling pathway","5/599","24/18842",0.208333333333333,6.55328324986088,4.93271440403917,0.000821597867262617,0.0102296495190766,0.0047424702332696,"LCK/PTPRC/FOXP1/PRKCH/CCR7",5
"GO:0051132","NK T cell activation","5/599","24/18842",0.208333333333333,6.55328324986088,4.93271440403917,0.000821597867262617,0.0102296495190766,0.0047424702332696,"HSPH1/LCK/CD44/CLEC2D/CLEC2B",5
"GO:1900151","regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","5/599","24/18842",0.208333333333333,6.55328324986088,4.93271440403917,0.000821597867262617,0.0102296495190766,0.0047424702332696,"ZFP36/TNRC6B/PABPC1/ZFP36L2/DHX36",5
"GO:0002758","innate immune response-activating signaling pathway","21/599","306/18842",0.0686274509803922,2.15872859995417,3.70298272666414,0.000832554193754887,0.0103343653591776,0.00479101654501811,"FYN/IFI16/HSPA1A/TNIP1/PCBP2/IRF7/USP15/EIF2AK2/GBP2/PPP6C/PIK3R1/HSPA8/PPP2CA/TNFAIP3/HSPD1/HSPA1B/PAK2/TRAF3IP3/ZC3HAV1/BIRC3/PTPN22",21
"GO:0001818","negative regulation of cytokine production","24/599","371/18842",0.0646900269541779,2.03487393634494,3.64792967004952,0.000843831883810402,0.0104424195621537,0.00484111052333459,"TGFB1/ATP2B1/PRNP/TIGIT/FXR1/KLF2/PTGER4/TNFRSF14/RGCC/LAPTM5/SRGN/PTPRC/REL/CARD16/TNFAIP3/ZFP36/DDIT3/ATG12/ANXA1/MPHOSPH8/HLA-F/PDCD4/CCR7/PTPN22",24
"GO:0070663","regulation of leukocyte proliferation","17/599","224/18842",0.0758928571428571,2.38726746959218,3.784730461251,0.000851417342038742,0.0105042644113534,0.00486978182393617,"CD55/GPR183/PRNP/CD3E/TNFRSF1B/RAC2/TNFRSF14/CCL5/LAPTM5/PTPRC/CD6/HLA-E/TNFAIP3/ANXA1/HLA-A/PTPN22/IL2RG",17
"GO:0030866","cortical actin cytoskeleton organization","6/599","36/18842",0.166666666666667,5.2426265998887,4.61694926239345,0.000869576662150202,0.0105361542437841,0.00488456596495339,"ARF6/IQGAP1/ROCK1/EZR/ARPC2/LCP1",6
"GO:0042307","positive regulation of protein import into nucleus","6/599","36/18842",0.166666666666667,5.2426265998887,4.61694926239345,0.000869576662150202,0.0105361542437841,0.00488456596495339,"TGFB1/RAN/TPR/PIK3R1/HCLS1/HSP90AA1",6
"GO:0043029","T cell homeostasis","6/599","36/18842",0.166666666666667,5.2426265998887,4.61694926239345,0.000869576662150202,0.0105361542437841,0.00488456596495339,"PSMA5/PSMB8/PSMB10/TSC22D3/PSMB9/PPP2CA",6
"GO:0045063","T-helper 1 cell differentiation","6/599","36/18842",0.166666666666667,5.2426265998887,4.61694926239345,0.000869576662150202,0.0105361542437841,0.00488456596495339,"STAT4/PSMA5/PSMB8/PSMB10/PSMB9/ANXA1",6
