"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
6.85657345767159e-24,0.368175616647259,0.816,0.747,1.90057359673199e-19,"CHMP4B"
5.74480587371552e-29,0.367447291723527,0.34,0.213,1.59240274013521e-24,"MFGE8"
1.6241370035073e-11,0.367415055711729,0.351,0.269,4.5019453600219e-07,"PCK2"
1.95440989657408e-13,0.366632904296942,0.565,0.477,5.4174287923137e-09,"C1orf122"
1.47950893910692e-14,0.366093464902702,0.364,0.27,4.10105082831048e-10,"METTL17"
1.9494744636578e-18,0.36600851570154,0.269,0.175,5.40374826581305e-14,"N4BP1"
1.04465417999073e-12,0.365737389485014,0.427,0.334,2.89567692151631e-08,"KIN"
4.26761350681396e-19,0.365586703749486,0.594,0.476,1.18293978795376e-14,"TRAF7"
1.07908415635981e-09,0.365453288166387,0.363,0.293,2.99111337301376e-05,"TNPO3"
2.80018606975272e-18,0.364664570191913,0.509,0.399,7.76183576674757e-14,"CLSTN1"
6.97147890545274e-09,0.364549687644482,0.369,0.299,0.000193242423780244,"BOP1"
4.39682829661084e-09,0.364423973243009,0.333,0.264,0.000121875683553756,"C18orf21"
1.7604007129969e-15,0.364250206585661,0.358,0.26,4.87965473635611e-11,"SPATC1L"
3.28535452386035e-12,0.363980245393806,0.402,0.315,9.1066742046885e-08,"AKAP13"
4.25627701354274e-11,0.363979207826342,0.251,0.18,1.17979742538391e-06,"CEP170"
1.54489477748576e-20,0.36392942822845,0.754,0.68,4.28229383371279e-16,"FBL"
7.43176074175109e-14,0.363893606179687,0.357,0.268,2.06000976000599e-09,"HYOU1"
4.83483902047659e-15,0.36324067413119,0.468,0.369,1.34016902808591e-10,"WDR74"
4.17797227917386e-11,0.36278664149879,0.347,0.268,1.1580921360642e-06,"INIP"
5.54023979199478e-12,0.362727417757126,0.619,0.543,1.53569906794303e-07,"PSMD12"
2.29822302082689e-11,0.362644898596761,0.363,0.278,6.37044439143006e-07,"C16orf87"
1.73675561543271e-11,0.362559301612397,0.56,0.462,4.81411289041794e-07,"SAP30BP"
2.68101113219321e-16,0.36249774595929,0.461,0.361,7.43149475732635e-12,"TIA1"
8.58492056321614e-19,0.362359703811538,0.552,0.438,2.37965413091788e-14,"PAFAH1B1"
1.23611405250829e-11,0.362193281080804,0.503,0.421,3.42638454214774e-07,"TXNDC9"
2.18353650461808e-10,0.361783004512449,0.591,0.509,6.05254483715084e-06,"IMPDH1"
2.37674381054986e-20,0.361581268260007,0.564,0.443,6.58809616846316e-16,"GOPC"
1.32758129066433e-13,0.361499940876241,0.284,0.203,3.67992257959245e-09,"THUMPD2"
1.86366583452826e-13,0.361441693089331,0.427,0.334,5.16589532672889e-09,"ACTR1B"
3.08054787500748e-11,0.361201584378693,0.53,0.449,8.53897065473324e-07,"MACROD1"
2.30561689530506e-18,0.361009138862212,0.659,0.571,6.39093947209609e-14,"FAM127B"
2.54428567010332e-12,0.360935757204208,0.306,0.224,7.0525054489594e-08,"AGO3"
3.84335905789872e-52,0.360736495960292,0.906,0.838,1.06534069725895e-47,"SNU13"
5.18595425119769e-13,0.360642747452761,0.351,0.267,1.43749465888949e-08,"SVIL"
4.5347925846995e-23,0.360487124014909,0.769,0.696,1.25699915655285e-18,"XRN2"
1.22786771038364e-10,0.360320404570589,0.563,0.501,3.40352650641242e-06,"FAM50A"
4.03508568526187e-24,0.36005594081873,0.646,0.515,1.11848540109774e-19,"MYH9"
1.62646537140286e-19,0.359969413995745,0.739,0.644,4.5083993629916e-15,"LSM14A"
