"name","contribution","contribution.scaled","group","contribution.relative.1","pvalues"
"LCK",0.0353544431744888,0.299192371755819,"TNBC",0,0
"CDH1",0.0357295719163372,0.300140172535825,"TNBC",0,0
"CSF",0.0373164986362791,0.3041066814931,"TNBC",0,0
"SIRP",0.0895436216164283,0.414416835641045,"TNBC",0,0
"SELE",0.17455393068717,0.572894682018219,"HER2",Inf,0
"TNF",0.152627194846367,0.531983664954447,"HER2",Inf,0
"TGFb",0.0889880690064316,0.413350737027089,"HER2",Inf,0
"TWEAK",0.0350248962934695,0.298356401038482,"HER2",Inf,0
"OCLN",0.0130502450954033,0.230470592428876,"HER2",Inf,0
"Netrin",0.00750887698105767,0.204429188939134,"HER2",Inf,0
"CysLTs",0.00325467110229288,0.174591245379309,"HER2",Inf,0
"SN",0.00193392569326848,0.160046008644875,"HER2",Inf,0
"BMP",0.00126730674296208,0.149905679979666,"HER2",Inf,0
"NEGR",0.000414189571150553,0.12838310689765,"HER2",Inf,0
"CEACAM",0.230556883571322,0.681543552170136,"HER2",100,1.26361846923828e-05
"SEMA7",0.029332846814675,0.283362591626316,"HER2",20,0.00262451171875
"RA",0.0378348215040695,0.305387767351091,"HER2",10,0.02154541015625
"GDF",0.0661494205062472,0.368210319251514,"HER2",10,0.20361328125
"SEMA4",0.0760420280950857,0.388128079536198,"HER2",10,9.53955602455483e-07
"EDN",0.0754319280656405,0.386918345757304,"HER2",9,0.00250792503356934
"CDH",0.218841135284664,0.658150540012621,"HER2",9,0.00468368575064563
"PERIOSTIN",0.252728182587967,0.727039680686439,"HER2",8,0.234157396313435
"CD46",0.233842099517585,0.688179535242734,"HER2",8,2.91783255092742e-12
"GAP",0.00872367464918525,0.210894171828952,"HER2",5,0.15625
"COMPLEMENT",0.280599629577472,0.786889519507323,"HER2",5,0.00433897972106934
"HSPG",0.061284460562964,0.358136819027845,"HER2",4,0.149908989667893
"SELPLG",0.117409132807905,0.466833666243737,"HER2",4,0.00987714156508446
"DHEAS",0.00167850846709301,0.156498203776412,"HER2",3,0.17626953125
"WNT",0.0024631148469985,0.166491059333228,"HER2",3,0.42578125
"CD96",0.00570979918307772,0.193589424609983,"HER2",3,0.25
"SELL",0.0925194921695877,0.420108770020354,"HER2",3,0.556640625
"GRN",0.412250175525501,1.12850909537669,"HER2",3,1.42312357544852e-08
"SPP1",0.904560981961379,9.96953750115341,"HER2",3,0.390613855224591
"THBS",2.76934620820745,30.7734288308255,"HER2",3,0.363463348837526
"AGRN",0.0082506833546061,0.208443667290959,"HER2",2,0.208686586120166
"ANGPT",0.0228675944536084,0.264687898058063,"HER2",2,0.359375
"CDH5",0.0235317819632048,0.266709102035871,"HER2",2,0
"GAS",0.0659784025416619,0.367859683786486,"HER2",2,0.570265954312843
"ESAM",0.113131652364808,0.458883346977737,"HER2",2,0.125
"Cholesterol",0.206733929931607,0.634387879945235,"HER2",2,0.00308060270607744
"NOTCH",0.23679427869911,0.694172783221511,"HER2",2,0.948868246303579
"IGFBP",0.461326592988486,1.29257576176465,"HER2",2,0.0001483887731268
"ICAM",0.534002974063387,1.59399670076987,"HER2",2,0.00191071399284892
