"orig.ident","seurat_clusters","malignant_state","Basal_score","LumProg_score","MatureLum_score","EMT_score","Cycling_score"
"CID3921","22","Basal-like",0.499495637262822,0.395595727497617,-0.582211487144686,0.31568886979938,-0.232703020812704
"CID3921","22","Luminal Progenitor-like",-0.0461467591045363,0.112447890565952,-0.40964670762221,-0.206580894978836,-0.205913672204226
"CID3921","22","Luminal Progenitor-like",-0.0969718793689564,0.991305518643285,-0.563479152022952,0.353165853446596,-0.158998164678025
"CID3921","22","Luminal Progenitor-like",-0.109093751753228,0.311684769843387,-0.223581308537524,-0.065872390041771,-0.182516060145205
"CID3921","22","Basal-like",0.365469179928682,0.296715084960082,-0.615079126987403,-0.00834794993081686,-0.195701143965848
"CID3921","22","Luminal Progenitor-like",-0.0835902355125483,0.601683246044859,-0.0927423947078583,-0.0335949926436889,-0.154633488732114
"CID3921","22","Luminal Progenitor-like",0.0240276876158618,0.304429685749267,-0.573348866647378,0.149497983546641,-0.201084668437632
"CID3921","22","Luminal Progenitor-like",-0.0971107547053989,0.19776636819061,-0.584366156928235,-0.0772274004660006,-0.221317153908033
"CID3921","22","Luminal Progenitor-like",0.111805247586677,0.535423179437188,-0.686062062947992,0.393754370420629,-0.116275575832123
"CID3921","22","Luminal Progenitor-like",-0.0938425502426223,0.327179915507686,-0.271577893609359,0.0503184777743229,-0.165433567330923
"CID3921","22","Luminal Progenitor-like",0.0752328664631599,0.494540299482206,-0.392225770667663,0.102359070661076,-0.223344554071417
"CID3921","22","Luminal Progenitor-like",0.0273876417040755,0.974090949449963,-0.476257638786977,0.187680152663985,-0.263487258228888
"CID3921","22","Luminal Progenitor-like",-0.0234623431810554,0.538156529884289,-0.166880284081467,-0.109215117634482,-0.217596099496136
"CID3921","22","Luminal Progenitor-like",-0.0823178058453208,0.462067746091437,-0.111827672475964,-0.0444120955793799,-0.196956741889828
"CID3921","24","Luminal Progenitor-like",-0.027022054682046,0.230378153826266,-0.583796183555564,-0.0996369869243678,-0.0709926143128404
"CID3921","22","Luminal Progenitor-like",-0.0525485733875368,0.521065708418053,0.0385934227420411,0.0785660469511943,-0.15063175477706
"CID3921","22","Luminal Progenitor-like",-0.0949381803299207,0.383031550473043,-0.240798945232335,-0.0204718434674343,-0.197273677601297
"CID3921","22","Luminal Progenitor-like",-0.0584752876752096,0.13511439264345,-0.435124321535211,-0.111314313735483,-0.187474808616548
"CID3921","22","Luminal Progenitor-like",-0.120859936542484,0.229191381782104,-0.521753491478097,-0.102490678269243,-0.238705474554522
"CID3921","22","Luminal Progenitor-like",-0.0757401433221108,0.255525479964055,-0.355414680175265,-0.174903304130394,-0.114230452128643
"CID3921","22","Luminal Progenitor-like",-0.0532124045155888,0.563442012296666,-0.459728146549958,0.196215432830613,-0.201285725253201
"CID3921","22","Luminal Progenitor-like",-0.110624562345774,0.586318601802196,-0.131684473041945,0.083532954464943,-0.209434823943609
"CID3921","22","Luminal Progenitor-like",-0.094036811561367,0.83981190490456,-0.392466325711733,0.247115380467301,-0.176381753520169
"CID3921","22","Luminal Progenitor-like",-0.0964376603192341,0.595698031688803,-0.269330740150767,-0.0399696905109701,-0.178053894425153
"CID3921","22","Luminal Progenitor-like",-0.0784324255488198,1.00113128961103,-0.568561961295759,0.0872918556954183,-0.12773444160902
"CID45171","20","Cycling/Proliferative",-0.0704854913329589,0.25648899399702,-0.600315381008777,-0.216951518391782,0.270996043200569
"CID45171","20","Cycling/Proliferative",-0.121295159007593,-0.207694393878168,-0.802807227683149,-0.264452122239675,0.852649413309688
"CID45171","20","Cycling/Proliferative",-0.0142399970459148,0.152220709341457,-0.78124128410062,-0.165177208730783,0.304987871379418
"CID45171","20","Cycling/Proliferative",-0.0974972204071338,-0.0106462141087054,-0.639462882392339,-0.226157994074154,0.542147241551083
"CID45171","20","Cycling/Proliferative",-0.0981493296929186,0.015148564813766,-0.663714529562113,-0.211332783616394,0.686731425704446
"CID45171","20","Cycling/Proliferative",-0.106941672270976,-0.225161976899652,-0.505098560406978,-0.182264809780317,0.132842654446673
