"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.87792204567166,0.329,0.092,0,"19","TOR2A"
0,0.834470528680803,0.33,0.093,0,"19","TSC2"
0,1.85281943407597,0.278,0.041,0,"19","IRGQ"
0,1.22042664265611,0.311,0.074,0,"19","MYCBP"
0,1.52746717611441,0.297,0.06,0,"19","RGS12"
0,0.512590510536231,0.346,0.109,0,"19","INTS12"
0,0.509525774560706,0.37,0.133,0,"19","STYXL1"
0,1.39426649898166,0.3,0.063,0,"19","UBN2"
0,0.448806665856983,0.318,0.081,0,"19","IL18"
0,3.05934059656132,0.254,0.017,0,"19","RP11-680F20.6"
0,0.542445412058142,0.339,0.103,0,"19","TMEM80"
0,0.688987975688964,0.331,0.095,0,"19","CCBL2"
0,0.349045009150543,0.402,0.166,0,"19","SLC35B2"
0,0.268310266991724,0.385,0.149,0,"19","FAM110A"
0,0.515600428938779,0.384,0.148,0,"19","TMED1"
0,0.437878980644052,0.362,0.126,0,"19","GAR1"
0,0.532299136806725,0.989,0.753,0,"19","TOMM7"
0,1.26283195564306,0.292,0.056,0,"19","ARSG"
0,0.670360769427634,0.337,0.102,0,"19","BLZF1"
0,0.461961217203588,0.343,0.108,0,"19","CRIM1"
0,1.31739828932823,0.298,0.063,0,"19","ZNF12"
0,1.16306749169307,0.298,0.063,0,"19","SLC37A3"
0,0.440554399394926,0.371,0.136,0,"19","PDPK1"
0,0.852594521710244,0.31,0.075,0,"19","PHLDB3"
0,0.69530137948327,0.328,0.094,0,"19","UBIAD1"
0,1.39119844858772,0.298,0.064,0,"19","ECM1"
0,0.482726998570151,0.372,0.138,0,"19","PCYOX1"
0,0.321151528600848,0.367,0.133,0,"19","DNAJB2"
0,1.16799556341773,0.297,0.063,0,"19","SLC7A8"
0,1.43419433734339,0.289,0.055,0,"19","HPN"
0,2.20876834571837,0.268,0.035,0,"19","C3orf52"
0,0.842773919559047,0.321,0.088,0,"19","SBF2"
0,0.853724442505333,0.326,0.093,0,"19","R3HDM2"
